Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.03,2.6,5,Danny_kondrea,7.6,1.69,7
sasha_er,21.37,2.64,7,Idan1986,9.39,-6.05,4
bardak65,13.41,4.76,5,hmualem,9.41,2.79,7
Ran1976,8.42,-2.4,2,Nissimb,3.3,-0.23,7
Efi,20.02,5.85,7,Moriarty,14.35,1.78,4
fridlich,6.22,2.2,7,UziMutsafy,11.2,-0.17,2
GuyEliyahu,11.47,-2.68,0,Avshalom,12.47,1.31,7
Aviado,3.34,-0.16,7,YKwin,4.83,-1.9,1
KingArt,0,0,7,Bye,0,0,6
HeartGammon,16.65,3.39,7,lur,14.97,0.13,0
Tezka11,10.05,0.02,3,nadavd,7.45,2.32,7
barak100,9.33,1.71,7,GS18671,7.92,-1.86,2
ys,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.53,0.33,7,sasha_er,15.48,0.03,4
bardak65,8.72,2.13,7,Danny_kondrea,9.34,-1.18,4
Ran1976,15.39,-3.14,7,Idan1986,50.2,-3.19,0
Efi,12.21,3.03,6,hmualem,6.46,3.08,7
fridlich,4.7,-2.34,2,Nissimb,8.41,3.12,7
GuyEliyahu,6.95,2.32,7,Moriarty,9.86,-0.36,0
Aviado,6.5,0.64,7,UziMutsafy,5.01,-3.1,0
KingArt,14.41,-1.37,7,Avshalom,8.29,-1.71,4
HeartGammon,7.13,-0.64,7,YKwin,4.66,-0.66,6
Tezka11,0,0,7,Bye,0,0,6
barak100,9.09,2.77,7,lur,9.27,-1.99,3
ys,3.94,-2.23,4,nadavd,3.65,0.79,7
Bye,0,0,7,GS18671,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,12.67,-1.9,7,bardak65,8.09,-3.44,6
Ran1976,10.81,2.35,7,sasha_er,13.4,2.74,6
Efi,21.15,0.83,4,Danny_kondrea,11.37,1.87,7
fridlich,4.06,3.45,5,Idan1986,7.03,5.46,7
GuyEliyahu,3.67,2.01,7,hmualem,5.36,-1.6,2
Aviado,4.7,-4.09,6,Nissimb,6.17,-2.06,7
KingArt,15.07,0.62,2,Moriarty,8.19,3.23,7
HeartGammon,14.59,-1.91,1,UziMutsafy,18.28,5.7,7
Tezka11,12.76,2.95,7,Avshalom,6.63,-1.4,2
barak100,7.98,1.5,5,YKwin,4.28,1.82,7
ys,0,0,7,Bye,0,0,6
Bye,0,0,7,lur,0,0,0
GS18671,18.04,1.43,0,nadavd,9.51,4.83,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,5.18,0.78,7,Ran1976,5.36,-2.75,2
Efi,23.34,1.5,4,bardak65,13.5,-3.32,7
fridlich,8.2,-3.13,1,sasha_er,11.94,1.54,7
GuyEliyahu,5.44,-0.95,5,Danny_kondrea,11.88,2.51,7
Aviado,4.2,2.33,7,Idan1986,9.24,-1.4,0
KingArt,10.36,-0.04,0,hmualem,6.27,2.17,7
HeartGammon,7.66,0.82,7,Nissimb,10.22,0.39,6
Tezka11,15.07,0.37,4,Moriarty,11.14,3.13,7
barak100,18.71,-0.98,0,UziMutsafy,10.1,2.47,7
ys,4.78,2.24,7,Avshalom,11.14,-2.05,4
Bye,0,0,7,YKwin,0,0,0
GS18671,16.13,0.8,7,Yehuda,7.67,-2.62,0
nadavd,10.99,0.46,7,lur,12.3,-1.16,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.73,4.48,7,Efi,7.35,-0.16,0
fridlich,4.51,-0.81,5,Ran1976,13.27,-0.9,7
GuyEliyahu,6.51,3.45,7,bardak65,11.92,-1.99,0
Aviado,4.53,2.44,7,sasha_er,6.1,-1.07,1
KingArt,11.27,4.53,7,Danny_kondrea,6.91,2.86,5
HeartGammon,6.61,2.52,7,Idan1986,10.37,-1.6,0
Tezka11,24.23,-1.82,4,hmualem,17.83,-1.4,7
barak100,5.87,2.6,7,Nissimb,7.12,-0.73,2
ys,9.3,0.9,7,Moriarty,11.34,-2.96,2
Bye,0,0,7,UziMutsafy,0,0,0
