Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,12.01,0.84,4,sasha_er,16.12,0.62,7
bardak65,12.77,0.49,7,hmualem,11.37,-4.42,1
Nissimb,7.61,0.51,7,Efi,14.59,-0.39,2
Moriarty,5.37,-2.46,7,UziMutsafy,9.34,-1.18,6
GuyEliyahu,7.05,-0.35,7,Avshalom,17.16,-2.26,2
YKwin,1.45,3.51,7,Tezka11,12.5,3.69,5
nadavd,9.09,-2.71,4,ys,4.8,-1,7
gidio,16.77,1.3,6,Hummus,5.52,1.28,7
YossiEliezer23,7.14,0.53,7,mirob,10.37,-0.5,3
Aviv,21.96,-0.53,2,fridlich,6.75,1.27,7
MarcelDana,9.4,-1.5,1,GS18671,7.54,1.28,7
OvedBenZeev,16.64,-2.13,0,Rahamimeli,12.7,1.83,7
Emergi,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,17.05,0.72,7,bardak65,7,-4.06,1
Nissimb,9.44,0.14,2,sasha_er,16.22,5.26,7
Moriarty,7.92,2.76,7,hmualem,6.32,-1.94,2
GuyEliyahu,7.21,-2.81,7,Efi,16.3,-1.97,6
YKwin,3.5,-1.46,2,UziMutsafy,9.4,2.56,7
nadavd,7.06,-1.24,4,Avshalom,14.62,2.18,7
gidio,15.69,0.5,7,Tezka11,28.23,-0.89,0
YossiEliezer23,2.76,2.42,7,ys,9.89,-0.96,0
Aviv,14.73,-1.63,7,Hummus,4.08,-4.43,5
MarcelDana,20.5,-2.75,3,mirob,10.06,-1.96,7
OvedBenZeev,27.63,-2.53,0,fridlich,11.62,1.56,7
Bye,0,0,7,Rahamimeli,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,16.34,1.77,6,Nissimb,8.29,1.27,7
Moriarty,4.49,-3.32,1,bardak65,9.98,2.26,7
GuyEliyahu,5.72,2.35,7,sasha_er,14.39,-0.59,0
YKwin,5.04,0.22,0,hmualem,10.74,3.2,7
nadavd,18.47,1.89,7,Efi,19.21,-0.37,0
gidio,13.29,-1.51,5,UziMutsafy,10.96,-2.17,7
YossiEliezer23,3.34,1.36,7,Avshalom,11.82,1.23,5
Aviv,13.23,-1.17,4,Tezka11,13.01,0.26,7
MarcelDana,22.72,-1.99,1,ys,3.22,0.19,7
OvedBenZeev,16.56,-2.27,2,Hummus,7.79,-0.42,7
Emergi,3.6,1.83,7,mirob,20.45,-1.96,2
Bye,0,0,7,fridlich,0,0,0
Rahamimeli,16.01,0.82,7,GS18671,15.56,-3.83,3
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,17.93,-4.19,0,Moriarty,15.26,2.8,7
GuyEliyahu,3.29,2.43,7,Nissimb,2.87,0.83,5
YKwin,10.62,0.12,7,bardak65,17.3,-2.96,4
nadavd,14.54,0.55,7,sasha_er,22.17,-0.91,1
gidio,20.77,-1.86,0,hmualem,8.73,2.45,7
YossiEliezer23,4.65,-0.66,7,Efi,12.31,-3.86,6
Aviv,19.3,-1.09,5,UziMutsafy,15.97,0.97,7
MarcelDana,18.15,-4.08,4,Avshalom,7.76,-2.18,7
OvedBenZeev,13.33,0.82,7,Tezka11,13.34,-0.1,4
Emergi,5.24,2.01,7,ys,3.09,1.82,5
Bye,0,0,7,Hummus,0,0,0
Rahamimeli,19.88,-0.85,1,mirob,12.59,2.18,7
GS18671,8.13,0.44,5,fridlich,7.85,0.44,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,11.13,-2.52,1,GuyEliyahu,4.22,1.32,7
YKwin,4.02,2.83,7,Moriarty,6.87,0.81,2
nadavd,10.6,-3.75,2,Nissimb,6.28,-0.35,7
gidio,14.25,-0.03,5,bardak65,16.27,2.95,7
YossiEliezer23,7.52,2.46,7,sasha_er,10.17,-1.39,2
Aviv,8.02,0.27,7,hmualem,7.88,-1.46,6
MarcelDana,8.78,1.39,7,Efi,15.33,-2.74,2
OvedBenZeev,18.61,-2.24,7,UziMutsafy,20.43,-2.7,2
Bye,0,0,7,Tezka11,0,0,0
Rahamimeli,15.58,2.09,7,ys,4.24,-2.06,3
GS18671,16.77,-1.84,0,Hummus,4.35,2.47,7
fridlich,3.77,2.23,7,mirob,14.39,0.67,4
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,14.18,3.85,7,YKwin,3.95,-1.3,5
nadavd,5.95,-2.85,2,GuyEliyahu,4.07,0.81,7
gidio,13.24,0.16,1,Moriarty,7.88,5.26,7
YossiEliezer23,6.12,2.99,7,Nissimb,4.58,-0.47,1
Aviv,11.81,3.49,7,bardak65,13.77,2.86,6
MarcelDana,7.77,-1.15,6,sasha_er,12.55,1.98,7
OvedBenZeev,10.07,1.34,7,hmualem,19.15,-2.2,1
Bye,0,0,7,UziMutsafy,0,0,0
Rahamimeli,11.59,0.81,7,Avshalom,13.42,-1.15,2
GS18671,14.14,0.1,7,Tezka11,10.37,-0.81,6
fridlich,6.17,0.15,7,ys,2.46,-0.74,5
mirob,15.79,0.38,5,Hummus,4.73,-1.22,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,8.49,-0.06,7,nadavd,6.13,-1.87,3
gidio,13.24,-1.43,4,YKwin,5.81,-0.93,7
YossiEliezer23,5.6,-0.17,2,GuyEliyahu,2.84,1.85,7
Aviv,16.64,0.42,6,Moriarty,8.26,0.74,7
MarcelDana,13.49,4.08,7,Nissimb,6.33,1.78,6
OvedBenZeev,14.08,-0.83,2,bardak65,10.07,0.82,7
Emergi,8.29,0.05,7,sasha_er,21.11,-2.62,3
Bye,0,0,7,hmualem,0,0,0
Rahamimeli,11.28,0.63,7,Efi,11.24,-0.77,5
GS18671,6.21,-1.36,7,UziMutsafy,6.44,-2.51,5
fridlich,5.86,1.79,7,Avshalom,12.99,-2.62,1
mirob,0,0,6,Tezka11,0,0,7
Hummus,3.71,-0.81,5,ys,3.2,-0.03,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,8.78,-2.05,2,gidio,10.29,1.59,7
YossiEliezer23,4.87,-2.31,4,nadavd,5.77,2.89,7
Aviv,17.84,-2.42,2,YKwin,8.92,-0.94,7
MarcelDana,11.41,-2.52,2,GuyEliyahu,3.09,-1.04,7
OvedBenZeev,19.85,-5.36,3,Moriarty,12.41,-3.88,7
Bye,0,0,7,bardak65,0,0,0
Rahamimeli,16.01,3.32,7,sasha_er,8.71,-1.95,1
GS18671,19.35,-0.17,7,hmualem,7.62,-4.04,0
fridlich,5.77,0.5,7,Efi,15.74,1.97,3
mirob,12.45,2.53,5,UziMutsafy,8.45,2.1,7
Hummus,13.16,-2.7,0,Avshalom,1.55,2.76,7
ys,3.36,0.13,7,Tezka11,10.71,-1.63,5
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,20.47,0.51,4,YossiEliezer23,6.31,2.57,7
Aviv,25.75,-0.83,7,gidio,18.15,-4.11,3
MarcelDana,5.77,0.53,7,nadavd,7.53,-3.25,1
OvedBenZeev,11.4,1.51,7,YKwin,4.95,-1.96,2
Emergi,6.24,1.67,7,GuyEliyahu,3.62,0.03,5
Bye,0,0,7,Moriarty,0,0,0
Rahamimeli,15.1,0.11,3,Nissimb,6.98,1.54,7
GS18671,10.09,-5.23,0,bardak65,10.45,3.81,7
fridlich,5.63,-1.18,7,sasha_er,16.57,1.74,5
mirob,16.45,-3.47,4,hmualem,10.14,-1.11,7
Hummus,6.75,1.65,7,Efi,11.22,-0.59,4
ys,7.52,0.09,7,UziMutsafy,9.36,-0.12,5
Tezka11,10.48,-0.66,7,Avshalom,5.49,-3.6,2
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,9.81,2.23,7,Aviv,15.65,-0.61,3
MarcelDana,9.55,-2.44,1,YossiEliezer23,3.02,0.83,7
OvedBenZeev,12.5,5.58,7,gidio,12.9,0.65,2
Bye,0,0,7,YKwin,0,0,0
Rahamimeli,15.74,2.73,7,GuyEliyahu,3.09,0.58,4
GS18671,24.09,-3.43,4,Moriarty,8.89,-1.59,7
fridlich,8.57,1.65,6,Nissimb,10.99,0.54,7
mirob,8.82,0.27,7,bardak65,7.45,-0.67,6
Hummus,8.49,0.9,7,sasha_er,19.45,-0.41,0
ys,3.5,0.51,7,hmualem,12.98,1.78,4
Tezka11,16.3,2.18,4,Efi,7.41,2.03,7
Avshalom,8.06,-1.49,7,UziMutsafy,8.96,-3.03,1
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,11.55,-1.47,1,MarcelDana,8.99,2.69,7
OvedBenZeev,7.14,-0.58,6,Aviv,10.6,-2.38,7
Emergi,6.31,-2.79,3,YossiEliezer23,7.08,3.07,7
Bye,0,0,7,gidio,0,0,0
Rahamimeli,8.8,0.54,7,nadavd,6.58,0.49,6
GS18671,12,-1.17,4,YKwin,3.8,2.7,7
fridlich,5.1,-1.77,4,GuyEliyahu,1.98,1.7,7
mirob,6,-2.51,5,Moriarty,8.53,0.01,7
Hummus,7.12,1.18,7,Nissimb,5.66,-0.42,4
ys,6.81,-4.61,3,bardak65,18.65,-0.77,7
Tezka11,18.43,2.46,7,sasha_er,6.95,-0.27,1
Avshalom,3.91,0.27,1,hmualem,9.06,3.62,7
UziMutsafy,10.63,-0.63,7,Efi,14.31,2.43,5
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,11.07,-3.83,2,OvedBenZeev,16.04,1.95,7
Emergi,11.57,-2.32,6,MarcelDana,10.55,-2.77,7
Bye,0,0,7,Aviv,0,0,0
Rahamimeli,14.2,0.95,3,YossiEliezer23,5.52,4.52,7
GS18671,8.75,-1.86,7,gidio,11.63,0.78,5
fridlich,3.31,2.08,7,nadavd,6.97,-0.58,2
mirob,9.44,-1.01,1,YKwin,3.64,2.03,7
Hummus,7.37,0.14,7,GuyEliyahu,6.13,-1.44,2
ys,9.71,-0.52,2,Moriarty,8.61,1.36,7
Tezka11,13.67,-0.7,0,Nissimb,7.09,0.83,7
Avshalom,10.09,2.01,4,bardak65,12.44,2.26,7
UziMutsafy,6.17,-1.14,1,sasha_er,12.84,1.61,7
Efi,16.94,2.94,7,hmualem,9.23,-2.84,2
Player, PR, Luck, Score, Player, PR, Luck, Score
Bye,0,0,7,OvedBenZeev,0,0,0
Rahamimeli,16.44,-0.28,3,MarcelDana,12.27,2.45,7
GS18671,11.21,3.06,7,Aviv,12.45,-0.31,1
fridlich,5.79,-2.96,3,YossiEliezer23,11.86,1.55,7
mirob,0,0,6,gidio,0,0,7
Hummus,5.2,2.07,7,nadavd,7.96,-1.06,2
ys,4.09,2.02,7,YKwin,6.77,-2.45,0
Tezka11,9.73,2.73,7,GuyEliyahu,1.89,-0.82,2
Avshalom,7.11,-0.22,5,Moriarty,4.82,1.67,7
UziMutsafy,8.53,2.3,7,Nissimb,6.84,-2.06,2
Efi,11.27,2.36,7,bardak65,9.81,-2.24,4
hmualem,16.78,1.7,7,sasha_er,15.19,-1.15,3
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,0,0,7,Bye,0,0,0
GS18671,13.97,-2.32,7,OvedBenZeev,16.24,-1.84,4
fridlich,5.98,0.63,6,MarcelDana,6.85,-1.65,7
mirob,17.19,0.09,4,Aviv,16.31,1.92,7
Hummus,5.03,-0.03,7,YossiEliezer23,4.02,-0.54,5
ys,4.13,-4.87,7,gidio,20.6,0.62,5
Tezka11,18.01,3.07,6,nadavd,7.47,1.85,7
Avshalom,5.54,0.13,0,YKwin,9.58,1.53,7
UziMutsafy,5.13,-0.93,7,GuyEliyahu,2.36,-1.87,5
Efi,16.07,3.87,2,Moriarty,2.53,4.67,7
hmualem,9.63,0.63,5,Nissimb,2.58,1.88,7
sasha_er,12.97,-1.1,5,bardak65,10.87,0.03,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,8.62,0.62,2,Rahamimeli,17.05,3.63,7
GS18671,0,0,7,Bye,0,0,0
fridlich,7.59,1.46,7,Emergi,23.8,-2.31,1
mirob,21.28,-2.4,2,OvedBenZeev,17.68,1.38,7
Hummus,7.44,-4.63,5,MarcelDana,12.82,-1.79,7
ys,3.08,-3.28,1,Aviv,8.82,0.41,7
Tezka11,8.78,2.62,7,YossiEliezer23,5.5,-3.83,0
Avshalom,13.72,-2.66,5,gidio,18.93,1.66,7
UziMutsafy,19.89,0.87,7,nadavd,3.44,-0.16,0
Efi,23.57,0.82,4,YKwin,3,-1.57,7
hmualem,8.39,-0.9,3,GuyEliyahu,6.65,2.94,7
sasha_er,19.59,-3.15,3,Moriarty,8.89,-1.19,7
bardak65,10.99,5.41,7,Nissimb,7.93,1.54,3
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,5.88,-2.91,7,GS18671,11.3,-0.69,5
fridlich,1.43,0.44,7,Rahamimeli,20.29,2.7,3
mirob,0,0,7,Bye,0,0,0
Hummus,4.9,0.87,7,Emergi,9.07,-1.55,3
ys,2.45,-1.28,7,OvedBenZeev,9.42,-1.71,3
