Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,9.31,0.54,4,sasha_er,8.1,2.51,7
Idan1986,15.45,0.26,7,bardak65,13.67,-6.79,2
hmualem,6.49,1.86,7,Ran1976,8.21,-1.76,4
Nissimb,4.19,-2.24,2,Efi,14.73,4.5,7
Moriarty,5.72,2.62,7,UziMutsafy,10.09,-0.76,2
GuyEliyahu,5.42,3.19,7,Avshalom,13.44,0.87,0
YKwin,12.02,2.11,7,KingArt,32.51,0.49,3
HeartGammon,12.41,0.66,7,lur,21.18,-0.19,3
Tezka11,9.32,-0.74,1,nadavd,5.48,1.81,7
ys,5.86,2.18,7,gidio,11.85,-1.73,1
Hummus,7.72,-1.09,0,YossiEliezer23,5.85,-0.11,7
OvedBenZeev,12.99,0.26,5,mirob,13.9,3.79,7
Aviv,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,11.14,0.44,7,Idan1986,17.09,-0.56,4
hmualem,13.45,3.35,3,sasha_er,17.06,2.07,7
Nissimb,7.1,0.76,7,bardak65,11.9,0.26,5
Moriarty,3.86,0.31,7,Ran1976,27.27,-3.3,0
GuyEliyahu,6.33,2.6,7,Efi,12.08,0.45,4
YKwin,3.37,2.46,7,UziMutsafy,8.17,2.04,6
HeartGammon,5.24,2.37,7,Avshalom,6.92,-1.3,0
Tezka11,10.46,-3.3,0,KingArt,10.53,0.26,7
ys,6.29,-1.5,7,lur,11.14,-0.41,6
Hummus,3.96,-1.7,1,nadavd,2.06,1.83,7
OvedBenZeev,17.48,4.21,6,gidio,11.74,5.59,7
Aviv,17.73,1.91,1,YossiEliezer23,6.22,5.12,7
Bye,0,0,7,mirob,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,10.57,-0.39,7,hmualem,11.55,-0.61,5
Nissimb,5.22,2.86,7,Idan1986,16.16,4.1,4
Moriarty,5.55,-0.57,7,sasha_er,11.73,-0.68,4
GuyEliyahu,3.67,0.42,7,bardak65,9.9,-0.1,5
YKwin,3.18,1.07,7,Ran1976,14.71,0.38,4
HeartGammon,7.07,-2.99,3,Efi,15.04,1.27,7
Tezka11,12.17,-0.28,5,UziMutsafy,11.15,1.18,7
ys,6.98,2.05,6,Avshalom,5.95,0.73,7
Hummus,2.99,-1.06,4,KingArt,11.05,2.1,7
OvedBenZeev,11.91,-0.92,4,lur,10.7,4.47,7
Aviv,8.58,2.28,7,nadavd,4.78,-0.08,2
Bye,0,0,7,gidio,0,0,0
mirob,14.99,-0.82,6,YossiEliezer23,2.52,-5.9,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,15.07,-0.7,2,Nissimb,8.27,2.18,7
Moriarty,3.26,-3.28,4,hmualem,8.34,0.55,7
GuyEliyahu,3.3,-0.07,2,Idan1986,8.54,3.58,7
YKwin,5.46,-4.23,1,sasha_er,9.41,-1.25,7
HeartGammon,7.79,0.91,5,bardak65,6.95,0.29,7
Tezka11,12.03,-0.99,6,Ran1976,18.5,0.27,7
ys,5.23,-0.44,7,Efi,9.46,-4.85,2
Hummus,5.08,-2.45,5,UziMutsafy,6.23,-0.38,7
OvedBenZeev,10.43,-2.42,7,Avshalom,17.91,-2.29,3
Aviv,15.83,3.34,7,KingArt,10.75,-1.9,0
Bye,0,0,7,lur,0,0,0
mirob,9.68,0.61,5,nadavd,5.32,2.74,7
YossiEliezer23,14.77,0.24,7,gidio,9.23,-1.07,5
Player, PR, Luck, Score, Player, PR, Luck, Score
Danny_kondrea,16.37,0.47,4,Moriarty,9.42,-0.36,7
GuyEliyahu,4.79,1.34,7,Nissimb,6.68,0.05,4
YKwin,2.58,-3.94,2,hmualem,9.26,1.9,7
HeartGammon,8.31,4.35,7,Idan1986,12.55,-0.41,3
Tezka11,10.61,-1.04,0,sasha_er,10.17,0.65,7
ys,4.4,-3.21,0,bardak65,7.71,3.74,7
