Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Idan1986,0,0,0
bardak65,14.32,2.82,7,Nissimb,6.26,0.85,4
Tezka11,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,0,0,0,Avshalom,0,0,0
MarcelDana,7.58,0.13,4,YossiEliezer23,7.1,2.17,7
ys,0,0,0,GS18671,0,0,0
Yannay,0,0,0,sagivquina,0,0,0
Ran1976,0,0,0,Yaniv162,0,0,0
nadavd,0,0,0,OvedBenZeev,0,0,0
Avi,0,0,0,Danny_kondrea,0,0,0
fridlich,0,0,0,Hummus,0,0,0
ynonhagag,0,0,0,PitCad14,0,0,0
rina,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,bardak65,0,0,0
Tezka11,0,0,0,Idan1986,0,0,0
GuyEliyahu,3.85,0.89,7,Nissimb,7.11,1.61,4
MarcelDana,0,0,0,UziMutsafy,0,0,0
ys,0,0,0,Avshalom,0,0,0
Yannay,0,0,0,YossiEliezer23,0,0,0
Ran1976,5.33,-0.74,7,GS18671,7.07,-3.25,4
nadavd,0,0,0,sagivquina,0,0,0
Avi,11.47,-3.02,4,Yaniv162,12.94,-2.32,7
fridlich,0,0,0,OvedBenZeev,0,0,0
ynonhagag,0,0,0,Danny_kondrea,0,0,0
rina,0,0,0,Hummus,0,0,0
Bye,0,0,7,PitCad14,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Tezka11,0,0,0
GuyEliyahu,0,0,0,bardak65,0,0,0
MarcelDana,0,0,0,Idan1986,0,0,0
ys,0,0,0,Nissimb,0,0,0
Yannay,6.66,0.63,7,UziMutsafy,6.9,-1.85,2
Ran1976,0,0,0,Avshalom,0,0,0
nadavd,0,0,0,YossiEliezer23,0,0,0
Avi,0,0,0,GS18671,0,0,0
fridlich,0,0,0,sagivquina,0,0,0
ynonhagag,0,0,0,Yaniv162,0,0,0
rina,0,0,0,OvedBenZeev,0,0,0
Bye,0,0,7,Danny_kondrea,0,0,0
PitCad14,0,0,0,Hummus,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,GuyEliyahu,0,0,0
MarcelDana,0,0,0,Tezka11,0,0,0
ys,0,0,0,bardak65,0,0,0
Yannay,0,0,0,Idan1986,0,0,0
Ran1976,9.21,-2.41,7,Nissimb,6.83,-4.58,5
nadavd,11.72,-0.29,3,UziMutsafy,8.48,3.3,7
Avi,0,0,0,Avshalom,0,0,0
fridlich,3.12,-1.3,0,YossiEliezer23,6.95,1.71,7
ynonhagag,0,0,0,GS18671,0,0,0
rina,0,0,0,sagivquina,0,0,0
Bye,0,0,7,Yaniv162,0,0,0
PitCad14,0,0,0,OvedBenZeev,0,0,0
Hummus,0,0,0,Danny_kondrea,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,MarcelDana,0,0,0
ys,0,0,0,GuyEliyahu,0,0,0
Yannay,7.91,1.08,7,Tezka11,11.88,-1.74,4
Ran1976,0,0,0,bardak65,0,0,0
nadavd,0,0,0,Idan1986,0,0,0
Avi,0,0,0,Nissimb,0,0,0
fridlich,0,0,0,UziMutsafy,0,0,0
ynonhagag,0,0,0,Avshalom,0,0,0
rina,0,0,0,YossiEliezer23,0,0,0
Bye,0,0,7,GS18671,0,0,0
PitCad14,0,0,0,sagivquina,0,0,0
Hummus,0,0,0,Yaniv162,0,0,0
Danny_kondrea,0,0,0,OvedBenZeev,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,ys,0,0,0
Yannay,0,0,0,MarcelDana,0,0,0
Ran1976,10.57,-0.86,7,GuyEliyahu,9.11,-2.69,6
nadavd,0,0,0,Tezka11,0,0,0
Avi,0,0,0,bardak65,0,0,0
fridlich,0,0,0,Idan1986,0,0,0
ynonhagag,0,0,0,Nissimb,0,0,0
rina,0,0,0,UziMutsafy,0,0,0
Bye,0,0,7,Avshalom,0,0,0
PitCad14,7.22,-0.55,7,YossiEliezer23,4.07,-2.35,1
Hummus,0,0,0,GS18671,0,0,0
Danny_kondrea,0,0,0,sagivquina,0,0,0
OvedBenZeev,0,0,0,Yaniv162,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Yannay,0,0,0
Ran1976,0,0,0,ys,0,0,0
nadavd,0,0,0,MarcelDana,0,0,0
Avi,0,0,0,GuyEliyahu,0,0,0
fridlich,0,0,0,Tezka11,0,0,0
ynonhagag,0,0,0,bardak65,0,0,0
rina,0,0,0,Idan1986,0,0,0
Bye,0,0,7,Nissimb,0,0,0
PitCad14,0,0,0,UziMutsafy,0,0,0
Hummus,0,0,0,Avshalom,0,0,0
Danny_kondrea,0,0,0,YossiEliezer23,0,0,0
OvedBenZeev,0,0,0,GS18671,0,0,0
Yaniv162,6.89,0.06,7,sagivquina,15.38,-1.59,3
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Ran1976,0,0,0
nadavd,0,0,0,Yannay,0,0,0
Avi,0,0,0,ys,0,0,0
fridlich,0,0,0,MarcelDana,0,0,0
ynonhagag,0,0,0,GuyEliyahu,0,0,0
rina,0,0,0,Tezka11,0,0,0
Bye,0,0,7,bardak65,0,0,0
PitCad14,0,0,0,Idan1986,0,0,0
Hummus,5.6,-3.74,0,Nissimb,6.81,-0.58,7
Danny_kondrea,0,0,0,UziMutsafy,0,0,0
OvedBenZeev,0,0,0,Avshalom,0,0,0
Yaniv162,14.32,-3.08,0,YossiEliezer23,6.11,1.15,7
sagivquina,0,0,0,GS18671,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,nadavd,0,0,0
Avi,12.77,1.58,7,Ran1976,12.14,-0.47,5
fridlich,0,0,0,Yannay,0,0,0
ynonhagag,0,0,0,ys,0,0,0
rina,0,0,0,MarcelDana,0,0,0
Bye,0,0,7,GuyEliyahu,0,0,0
PitCad14,0,0,0,Tezka11,0,0,0
Hummus,0,0,0,bardak65,0,0,0
Danny_kondrea,0,0,0,Idan1986,0,0,0
OvedBenZeev,0,0,0,Nissimb,0,0,0
Yaniv162,0,0,0,UziMutsafy,0,0,0
sagivquina,0,0,0,Avshalom,0,0,0
GS18671,10,2.62,5,YossiEliezer23,5.26,2.61,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Avi,0,0,0
fridlich,0,0,0,nadavd,0,0,0
ynonhagag,0,0,0,Ran1976,0,0,0
rina,7.52,-2.23,0,Yannay,5.11,0.85,7
Bye,0,0,7,ys,0,0,0
PitCad14,0,0,0,MarcelDana,0,0,0
Hummus,0,0,0,GuyEliyahu,0,0,0
Danny_kondrea,0,0,0,Tezka11,0,0,0
OvedBenZeev,0,0,0,bardak65,0,0,0
Yaniv162,0,0,0,Idan1986,0,0,0
sagivquina,0,0,0,Nissimb,0,0,0
GS18671,0,0,0,UziMutsafy,0,0,0
YossiEliezer23,0,0,0,Avshalom,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,fridlich,0,0,0
ynonhagag,0,0,0,Avi,0,0,0
rina,0,0,0,nadavd,0,0,0
Bye,0,0,7,Ran1976,0,0,0
PitCad14,0,0,0,Yannay,0,0,0
Hummus,0,0,0,ys,0,0,0
Danny_kondrea,0,0,0,MarcelDana,0,0,0
OvedBenZeev,0,0,0,GuyEliyahu,0,0,0
Yaniv162,0,0,0,Tezka11,0,0,0
sagivquina,0,0,0,bardak65,0,0,0
GS18671,0,0,0,Idan1986,0,0,0
YossiEliezer23,4.37,-3.4,5,Nissimb,6.48,-2.12,7
Avshalom,0,0,0,UziMutsafy,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,ynonhagag,0,0,0
rina,0,0,0,fridlich,0,0,0
Bye,0,0,7,Avi,0,0,0
PitCad14,0,0,0,nadavd,0,0,0
Hummus,0,0,0,Ran1976,0,0,0
Danny_kondrea,0,0,0,Yannay,0,0,0
OvedBenZeev,0,0,0,ys,0,0,0
Yaniv162,0,0,0,MarcelDana,0,0,0
sagivquina,0,0,0,GuyEliyahu,0,0,0
GS18671,0,0,0,Tezka11,0,0,0
YossiEliezer23,0,0,0,bardak65,0,0,0
Avshalom,0,0,0,Idan1986,0,0,0
UziMutsafy,5.76,1.61,5,Nissimb,7.78,2.12,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,rina,0,0,0
Bye,0,0,7,ynonhagag,0,0,0
PitCad14,11.46,1.19,7,fridlich,3.27,-0.01,0
Hummus,0,0,0,Avi,0,0,0
Danny_kondrea,0,0,0,nadavd,0,0,0
OvedBenZeev,0,0,0,Ran1976,0,0,0
Yaniv162,0,0,0,Yannay,0,0,0
sagivquina,0,0,0,ys,0,0,0
GS18671,0,0,0,MarcelDana,0,0,0
YossiEliezer23,0,0,0,GuyEliyahu,0,0,0
Avshalom,0,0,0,Tezka11,0,0,0
UziMutsafy,9.16,1.53,7,bardak65,18.45,-2.63,0
Nissimb,0,0,0,Idan1986,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,7,Bye,0,0,0
PitCad14,17.9,1.62,7,rina,12.88,-3.01,2
Hummus,0,0,0,ynonhagag,0,0,0
Danny_kondrea,0,0,0,fridlich,0,0,0
OvedBenZeev,0,0,0,Avi,0,0,0
Yaniv162,0,0,0,nadavd,0,0,0
sagivquina,0,0,0,Ran1976,0,0,0
GS18671,0,0,0,Yannay,0,0,0
YossiEliezer23,0,0,0,ys,0,0,0
Avshalom,0,0,0,MarcelDana,0,0,0
UziMutsafy,0,0,0,GuyEliyahu,0,0,0
Nissimb,10.92,-0.55,0,Tezka11,9.17,-0.1,7
Idan1986,0,0,0,bardak65,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,PitCad14,0,0,0
Hummus,0,0,7,Bye,0,0,0
Danny_kondrea,0,0,0,rina,0,0,0
OvedBenZeev,0,0,0,ynonhagag,0,0,0
Yaniv162,0,0,0,fridlich,0,0,0
sagivquina,0,0,0,Avi,0,0,0
GS18671,0,0,0,nadavd,0,0,0
YossiEliezer23,0,0,0,Ran1976,0,0,0
Avshalom,0,0,0,Yannay,0,0,0
UziMutsafy,7.06,1.59,4,ys,3.88,3.47,7
Nissimb,0,0,0,MarcelDana,0,0,0
Idan1986,0,0,0,GuyEliyahu,0,0,0
bardak65,0,0,0,Tezka11,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Hummus,0,0,0
Danny_kondrea,0,0,0,PitCad14,0,0,0
OvedBenZeev,0,0,7,Bye,0,0,0
Yaniv162,0,0,0,rina,0,0,0
sagivquina,0,0,0,ynonhagag,0,0,0
GS18671,0,0,0,fridlich,0,0,0
YossiEliezer23,0,0,0,Avi,0,0,0
Avshalom,0,0,0,nadavd,0,0,0
UziMutsafy,0,0,0,Ran1976,0,0,0
Nissimb,0,0,0,Yannay,0,0,0
Idan1986,0,0,0,ys,0,0,0
bardak65,0,0,0,MarcelDana,0,0,0
Tezka11,0,0,0,GuyEliyahu,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Danny_kondrea,0,0,0
OvedBenZeev,0,0,0,Hummus,0,0,0
Yaniv162,10.46,1.14,7,PitCad14,6.83,-2.21,2
sagivquina,0,0,7,Bye,0,0,0
GS18671,0,0,0,rina,0,0,0
YossiEliezer23,0,0,0,ynonhagag,0,0,0
Avshalom,0,0,0,fridlich,0,0,0
UziMutsafy,0,0,0,Avi,0,0,0
Nissimb,0,0,0,nadavd,0,0,0
Idan1986,0,0,0,Ran1976,0,0,0
bardak65,0,0,0,Yannay,0,0,0
Tezka11,0,0,0,ys,0,0,0
GuyEliyahu,0,0,0,MarcelDana,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,OvedBenZeev,0,0,0
Yaniv162,0,0,0,Danny_kondrea,0,0,0
sagivquina,0,0,0,Hummus,0,0,0
GS18671,0,0,0,PitCad14,0,0,0
YossiEliezer23,0,0,7,Bye,0,0,0
Avshalom,0,0,0,rina,0,0,0
UziMutsafy,0,0,0,ynonhagag,0,0,0
Nissimb,3.94,-1.22,0,fridlich,1.49,1.41,7
Idan1986,0,0,0,Avi,0,0,0
bardak65,0,0,0,nadavd,0,0,0
Tezka11,44.49,-1.52,5,Ran1976,19.96,1.74,7
GuyEliyahu,0,0,0,Yannay,0,0,0
MarcelDana,0,0,0,ys,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Yaniv162,0,0,0
sagivquina,0,0,0,OvedBenZeev,0,0,0
GS18671,0,0,0,Danny_kondrea,0,0,0
YossiEliezer23,9.43,0.24,7,Hummus,7.77,-1.41,6
Avshalom,0,0,0,PitCad14,0,0,0
UziMutsafy,0,0,7,Bye,0,0,0
Nissimb,0,0,0,rina,0,0,0
Idan1986,0,0,0,ynonhagag,0,0,0
bardak65,0,0,0,fridlich,0,0,0
Tezka11,0,0,0,Avi,0,0,0
GuyEliyahu,0,0,0,nadavd,0,0,0
MarcelDana,0,0,0,Ran1976,0,0,0
ys,0,0,0,Yannay,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
