Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Idan1986,0,0,0
bardak65,0,0,0,Nissimb,0,0,0
Tezka11,0,0,0,UziMutsafy,0,0,0
GuyEliyahu,0,0,0,Avshalom,0,0,0
MarcelDana,0,0,0,YKwin,0,0,0
YossiEliezer23,0,0,0,ys,0,0,0
GS18671,0,0,0,Yannay,0,0,0
sagivquina,12.43,2.7,4,Ran1976,9.98,-0.43,7
ilanblum,10.09,0.04,7,Yaniv162,19.45,-2.9,2
sasha_er,11.37,1.82,7,gidio,22.82,-1.14,0
nadavd,0,0,0,barak100,0,0,0
OvedBenZeev,0,0,0,gingi,0,0,0
Avi,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,bardak65,0,0,0
Tezka11,22.15,4.08,4,Idan1986,10.32,0.71,7
GuyEliyahu,0,0,0,Nissimb,0,0,0
MarcelDana,0,0,0,UziMutsafy,0,0,0
YossiEliezer23,9.4,-1.7,1,Avshalom,13.38,-0.39,7
GS18671,0,0,0,YKwin,0,0,0
sagivquina,0,0,0,ys,0,0,0
ilanblum,0,0,0,Yannay,0,0,0
sasha_er,0,0,0,Ran1976,0,0,0
nadavd,0,0,0,Yaniv162,0,0,0
OvedBenZeev,0,0,0,gidio,0,0,0
Avi,0,0,0,barak100,0,0,0
Bye,0,0,7,gingi,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,Tezka11,0,0,0
GuyEliyahu,1.96,-1.26,6,bardak65,10.26,0,7
MarcelDana,0,0,0,Idan1986,0,0,0
YossiEliezer23,0,0,0,Nissimb,0,0,0
GS18671,0,0,0,UziMutsafy,0,0,0
sagivquina,10.28,-3.26,5,Avshalom,6.5,-5.23,7
ilanblum,0,0,0,YKwin,0,0,0
sasha_er,0,0,0,ys,0,0,0
nadavd,0,0,0,Yannay,0,0,0
OvedBenZeev,0,0,0,Ran1976,0,0,0
Avi,0,0,0,Yaniv162,0,0,0
Bye,0,0,7,gidio,0,0,0
gingi,0,0,0,barak100,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
Moriarty,0,0,0,GuyEliyahu,0,0,0
