Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,4.33,-2.74,0,Danny_kondrea,9.91,1.94,7
sasha_er,14.95,-0.1,2,Idan1986,11.73,0.96,7
bardak65,15.05,-2.82,1,hmualem,17.91,3.03,7
Ran1976,7.65,-0.37,7,Nissimb,8.75,-2.33,4
Efi,11.54,-1.45,5,Moriarty,7.91,-0.11,7
fridlich,4.46,-0.07,3,UziMutsafy,13.22,4.72,7
GuyEliyahu,2.36,-1.79,2,Avshalom,5.63,1.87,7
Aviado,3.22,-0.27,1,Hummus,5.38,1.36,7
YKwin,5.89,-0.95,5,YossiEliezer23,10.52,0.07,7
KingArt,9.64,-3.68,2,Yehuda,6.53,0.33,7
gidio,13.93,1.71,7,Masteroy,8.63,-1.81,6
HeartGammon,7.4,1.41,7,Roni1122,5.48,1.11,5
lur,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,18.21,0.88,7,sasha_er,24.82,-0.15,4
bardak65,7.3,-3.25,1,Danny_kondrea,10.53,2.13,7
Ran1976,16.53,0.05,7,Idan1986,115,0.33,0
Efi,10.24,-0.08,2,hmualem,6.79,4.56,7
fridlich,11.47,2.85,7,Nissimb,7.84,2.17,5
GuyEliyahu,8.35,2.72,7,Moriarty,14.96,-0.98,2
Aviado,2.56,-1.21,5,UziMutsafy,7.21,1.58,7
YKwin,5.1,-4.64,7,Avshalom,11.13,-0.87,6
KingArt,13.87,-0.72,5,Hummus,4.54,-0.27,7
gidio,10.44,3.08,7,YossiEliezer23,4.16,-0.07,5
HeartGammon,8.1,-1.02,6,Yehuda,9.79,1.7,7
lur,8.08,-4.01,0,Masteroy,7.95,4.13,7
Bye,0,0,7,Roni1122,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.39,-1.57,1,bardak65,8.29,1.91,7
Ran1976,8.42,-2.62,4,sasha_er,15.27,-0.19,7
Efi,9.15,-0.48,6,Danny_kondrea,9.38,0.67,7
fridlich,3.03,2.16,7,Idan1986,11.9,-1.35,2
GuyEliyahu,5.07,-1.29,0,hmualem,9.8,1.12,7
Aviado,2.36,1.15,7,Nissimb,3.71,-2.23,1
YKwin,4.61,-1.3,5,Moriarty,5.43,0.67,7
KingArt,11.67,0.17,7,UziMutsafy,18.45,-5.07,2
gidio,11.5,3.25,7,Avshalom,7.54,-0.18,2
HeartGammon,11.86,-0.52,2,Hummus,4.73,3.06,7
lur,7.24,-3.46,2,YossiEliezer23,10.31,1.05,7
Bye,0,0,7,Yehuda,0,0,0
Roni1122,5.7,3.47,7,Masteroy,5.17,-0.04,3
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,5.9,-0.73,2,Ran1976,11.04,4.91,7
Efi,12.61,0.51,4,bardak65,7.81,2.17,7
fridlich,5.17,-0.35,7,sasha_er,11.91,-0.95,6
GuyEliyahu,7.12,0.6,4,Danny_kondrea,11.14,3.35,7
Aviado,7.82,0.89,7,Idan1986,12.11,-0.74,0
YKwin,4.86,0.05,7,hmualem,10.02,-0.42,6
KingArt,15.52,1.08,5,Nissimb,6.66,0.15,7
gidio,14.77,-4.64,7,Moriarty,11.06,-4.6,6
HeartGammon,11.25,0.92,6,UziMutsafy,14.43,2.46,7
lur,9.6,-0.97,3,Avshalom,9.28,1.08,7
Bye,0,0,7,Hummus,0,0,0
Roni1122,0,0,0,YossiEliezer23,0,0,7
Masteroy,5.83,-5.01,0,Yehuda,4.71,-1.81,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,9.41,-0.8,7,Efi,9.23,-4.06,0
fridlich,6.83,2.09,7,Ran1976,7.7,-1.33,1
GuyEliyahu,3.44,2.62,7,bardak65,7.03,-1.75,0
Aviado,5.47,0.81,7,sasha_er,11.53,-0.61,0
YKwin,1.63,-2.63,0,Danny_kondrea,8.46,2.03,7
KingArt,14,0.93,7,Idan1986,9.58,-2,6
gidio,11.34,2.01,7,hmualem,16.38,-4.05,1
HeartGammon,15.96,0.29,5,Nissimb,8.47,-0.2,7
lur,9.21,3.67,7,Moriarty,5.67,-2.43,3
Bye,0,0,7,UziMutsafy,0,0,0
Roni1122,6.18,-2.05,0,Avshalom,7.31,2.29,7
Masteroy,8.76,2.59,7,Hummus,4.41,-0.5,3
Yehuda,7.94,-1.2,7,YossiEliezer23,3.74,-1.53,3
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.23,-1.39,0,fridlich,3.09,3.58,7
GuyEliyahu,3.8,0.53,7,Efi,8.21,-0.48,3
Aviado,4.67,0.92,7,Ran1976,12.76,-2.7,3
YKwin,11.42,-2.39,7,bardak65,17.29,-5.52,1
KingArt,19.96,-2.16,7,sasha_er,15.78,-3.15,5
