Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,5.85,2.3,7,Danny_kondrea,6.34,0.96,5
sasha_er,13.7,-2.92,1,Idan1986,12.5,4.22,7
bardak65,9.14,-0.55,7,hmualem,8.65,-0.23,6
Ran1976,10.85,1.12,7,Nissimb,8.09,-0.37,2
Efi,20.69,-0.5,4,Moriarty,7.25,0.36,7
fridlich,4.85,-2.2,1,Amiros,16.5,2.12,7
UziMutsafy,15.93,3.79,7,GuyEliyahu,1.42,-0.14,3
nadavd,6.75,0.77,5,Avshalom,5.03,0.92,7
Aviado,6.97,0.53,7,Hummus,11.73,-0.55,1
Tezka11,8.19,2.52,6,YKwin,2.52,2.69,7
YossiEliezer23,3.41,-0.05,7,ynonhagag,5.11,-0.3,6
OMRAD,5.7,-2.58,3,boutsky,1.18,0.05,7
dror,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.56,-3.5,0,sasha_er,18.41,2.15,7
bardak65,16.25,-0.43,5,Danny_kondrea,10.49,2.95,7
Ran1976,7.21,0.23,7,Idan1986,6.98,-1.32,5
Efi,13.9,0.46,2,hmualem,6.66,1.19,7
fridlich,5.37,-0.57,2,Nissimb,5.8,2.16,7
UziMutsafy,10.95,0.11,7,Moriarty,3.85,-3.08,2
nadavd,0,0,7,Amiros,0,0,0
Aviado,6.3,2.38,7,GuyEliyahu,7.5,-2.92,0
Tezka11,9.55,0.92,6,Avshalom,5.61,0.73,7
YossiEliezer23,5.77,1.51,7,Hummus,4.99,-3.17,2
OMRAD,9.96,-0.86,4,YKwin,2.96,0.71,7
dror,16.42,-0.66,2,ynonhagag,3.86,-0.1,7
Bye,0,0,7,boutsky,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.16,1.16,7,bardak65,15.13,1.09,6
Ran1976,17.96,1.56,7,sasha_er,19.29,0.42,5
Efi,18.67,-0.8,5,Danny_kondrea,16.79,1.85,7
fridlich,6.02,-0.56,6,Idan1986,11.15,-0.5,7
UziMutsafy,12.78,-3.08,4,hmualem,8.95,-2.94,7
nadavd,5.34,0.46,2,Nissimb,3.87,3.79,7
Aviado,5.33,-0.94,5,Moriarty,6.01,-1.34,7
Tezka11,17.26,1.79,7,Amiros,10.77,-0.36,6
YossiEliezer23,6.07,3.03,7,GuyEliyahu,3.4,-0.57,2
OMRAD,6.25,-2.02,2,Avshalom,12.8,2.1,7
dror,13.83,2.79,7,Hummus,4.29,-1.38,2
Bye,0,0,7,YKwin,0,0,0
boutsky,4.32,3.78,7,ynonhagag,8.48,0.87,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,14.35,2.77,7,Ran1976,11.73,-0.92,2
Efi,15.91,6.44,7,bardak65,8.43,1.7,5
fridlich,6.61,1.06,7,sasha_er,11.89,-3.41,1
UziMutsafy,12.39,3.27,7,Danny_kondrea,9.11,-1.98,0
nadavd,3.08,3.44,7,Idan1986,6.8,0.17,2
Aviado,4.21,2.26,7,hmualem,8.04,-0.28,2
Tezka11,18.62,-2.52,1,Nissimb,15.27,1.51,7
YossiEliezer23,4.99,-1.37,2,Moriarty,8.56,1.35,7
OMRAD,5.42,-1.76,6,Amiros,9.33,0.39,7
dror,11.47,2.69,7,GuyEliyahu,5.58,0.57,6
Bye,0,0,7,Avshalom,0,0,0
boutsky,2.38,1.6,7,Hummus,7.78,-1.03,2
ynonhagag,7.51,0.42,7,YKwin,4.08,-0.98,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.87,-3.59,7,Efi,23.86,-2.06,5
fridlich,2.29,2,7,Ran1976,15.62,-2.08,1
UziMutsafy,15.32,1.13,7,bardak65,10.22,-2.02,2
nadavd,0,0,7,sasha_er,0,0,0
Aviado,5.54,3.15,7,Danny_kondrea,8.95,0.56,4
Tezka11,13.49,-0.21,3,Idan1986,16.94,4.73,7
YossiEliezer23,7.6,-1.04,7,hmualem,12.4,1.83,5
OMRAD,6.82,2.47,7,Nissimb,3.41,-2.93,0
dror,13.28,3.21,7,Moriarty,8,-1.86,2
Bye,0,0,7,Amiros,0,0,0
boutsky,1.57,0.16,7,GuyEliyahu,2.2,-2.96,1
ynonhagag,2.62,-1.65,0,Avshalom,9.01,2.23,7
YKwin,3.46,0.44,7,Hummus,6.23,-0.17,6
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.37,-0.7,0,fridlich,6.76,2.44,7
UziMutsafy,13.79,-3.65,7,Efi,14.61,-4.85,5
nadavd,5.25,3.54,7,Ran1976,15.31,-1.05,0
Aviado,2.28,0.23,3,bardak65,12.55,3.28,7
Tezka11,17.63,-1.25,4,sasha_er,12.97,-1.63,7
YossiEliezer23,6.84,2.17,7,Danny_kondrea,22.24,-1.84,2
OMRAD,3.84,1.68,7,Idan1986,15.03,1.84,4
dror,18.65,0.09,7,hmualem,10.08,-6.18,1
Bye,0,0,7,Nissimb,0,0,0
boutsky,4.42,-3.68,0,Moriarty,6.96,3.31,7
ynonhagag,13,-0.59,0,Amiros,35.56,0.66,7
YKwin,3.86,-1.01,2,GuyEliyahu,5.12,0.6,7
Hummus,5.89,1.3,7,Avshalom,16.84,-3.05,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.17,-0.85,1,UziMutsafy,10.47,4.39,7
nadavd,8.91,2.47,7,fridlich,4.88,3.05,5
Aviado,5.09,-5,3,Efi,15.41,0.16,7
Tezka11,15.85,0.8,7,Ran1976,15.2,-1.21,6
YossiEliezer23,5.83,-1,7,bardak65,9.38,0.88,6
OMRAD,6.25,2.34,7,sasha_er,10.35,-0.82,4
dror,18.73,2.11,7,Danny_kondrea,13.44,-2.75,6
Bye,0,0,7,Idan1986,0,0,0
boutsky,1.86,3.2,7,hmualem,10.4,1.82,1
ynonhagag,12.52,-1.35,5,Nissimb,7.26,-0.04,7
YKwin,7.17,-3.9,4,Moriarty,7.27,-0.41,7
Hummus,9.5,-1.48,0,Amiros,11.04,0.39,7
Avshalom,10.57,1.46,7,GuyEliyahu,3.93,-1.25,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,5.83,1.87,6,nadavd,4.86,4.08,7
Aviado,6.11,-1.77,7,UziMutsafy,6.28,-2.39,4
Tezka11,18.09,-0.06,2,fridlich,4.56,1.72,7
YossiEliezer23,5.58,-2.46,4,Efi,10.66,-0.18,7
OMRAD,8.9,0.72,7,Ran1976,15.85,-0.69,3
dror,10.31,-0.16,7,bardak65,10.54,-4.13,2
Bye,0,0,7,sasha_er,0,0,0
boutsky,4.88,-3.08,4,Danny_kondrea,12.78,0.38,7
ynonhagag,7.9,-3,4,Idan1986,11.18,0.89,7
YKwin,2.54,4.74,7,hmualem,6.91,0.35,2
Hummus,3.93,1.12,7,Nissimb,5.26,0.2,4
Avshalom,9.14,4.22,7,Moriarty,6.49,-1.21,0
GuyEliyahu,0.63,-0.24,7,Amiros,16.68,-1.65,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.2,-3.62,0,Aviado,4.48,1.65,7
Tezka11,23.14,0.49,7,nadavd,11.74,-2.23,4
YossiEliezer23,1.41,-0.88,0,UziMutsafy,7.1,3.52,7
OMRAD,10.13,-0.97,4,fridlich,9.17,0.63,7
dror,21.19,-0.39,5,Efi,15.52,0.62,7
Bye,0,0,7,Ran1976,0,0,0
boutsky,3.41,0.4,7,bardak65,13.62,-1.82,2
ynonhagag,6.28,-2.81,2,sasha_er,10.78,2.81,7
YKwin,7.3,-1.65,1,Danny_kondrea,4.5,3.17,7
Hummus,2.7,2.2,7,Idan1986,8.91,-1.42,2
Avshalom,9.34,-2.15,2,hmualem,9.83,1.55,7
GuyEliyahu,4.83,-1.7,3,Nissimb,6.05,0.96,7
Amiros,19.21,0.02,2,Moriarty,8.31,0.1,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.33,-2.57,2,Tezka11,5.99,0.71,7
YossiEliezer23,5.99,-1.24,6,Aviado,4.2,-0.14,7
OMRAD,15.15,2.69,7,nadavd,5.65,-2.7,2
dror,14.38,0.2,2,UziMutsafy,11.68,4.53,7
Bye,0,0,7,fridlich,0,0,0
boutsky,1.69,3.19,7,Efi,16.4,-1.31,0
ynonhagag,11.22,-2.24,7,Ran1976,17.89,-1.48,6
YKwin,4.48,2.93,7,bardak65,10.32,-0.24,1
Hummus,5.33,2.34,7,sasha_er,17.67,0.63,3
Avshalom,6.44,2.98,7,Danny_kondrea,4.77,0.65,4
GuyEliyahu,3.47,2.39,7,Idan1986,14.38,-1.56,2
Amiros,19.68,0.18,3,hmualem,8.84,1.52,7
Moriarty,14.07,-2.3,6,Nissimb,7.15,-1.42,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.4,-2.6,1,YossiEliezer23,5.95,2.12,7
OMRAD,7.03,1.11,7,Tezka11,11.62,-1.14,4
dror,9.51,-0.7,2,Aviado,2.62,1.57,7
Bye,0,0,7,nadavd,0,0,0
boutsky,1.63,1.07,7,UziMutsafy,9.25,-2.01,2
ynonhagag,6.47,-3.95,3,fridlich,11.83,2.79,7
YKwin,5.93,2.9,7,Efi,9.88,-1.49,0
Hummus,6.25,-0.87,7,Ran1976,5.5,-2.08,6
Avshalom,15.46,-0.92,7,bardak65,10.74,-0.05,3
GuyEliyahu,2.05,-2.94,1,sasha_er,15.72,1.58,7
Amiros,17.08,-0.65,1,Danny_kondrea,8.03,0.48,7
Moriarty,13.16,-0.38,7,Idan1986,26.05,-0.88,2
Nissimb,5.58,-1.42,7,hmualem,9.43,-3.45,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,7.21,2.87,7,OMRAD,2.85,-2.23,1
dror,9.55,0.23,7,YossiEliezer23,5.77,-2.71,1
Bye,0,0,7,Tezka11,0,0,0
boutsky,7.06,-1.09,7,Aviado,13.14,-2.39,0
ynonhagag,3.15,-2.79,1,nadavd,4.23,-0.86,7
YKwin,3.31,1.63,7,UziMutsafy,20.5,-3.7,0
Hummus,5.61,0.88,2,fridlich,8.12,4.74,7
Avshalom,12.08,-3.37,1,Efi,23.13,0.67,7
GuyEliyahu,4.33,-2.33,5,Ran1976,15.1,0.84,7
Amiros,9.05,0.53,6,bardak65,10.52,4.87,7
Moriarty,6.79,3.15,7,sasha_er,16.61,0.13,1
Nissimb,3.48,1.13,7,Danny_kondrea,7.27,0.58,3
hmualem,12.32,-0.26,7,Idan1986,15.38,0.63,6
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,24.32,0.59,7,dror,8.98,-1.75,0
Bye,0,0,7,OMRAD,0,0,0
boutsky,2.41,-3.51,2,YossiEliezer23,4.89,0.81,7
ynonhagag,6.83,-1.66,0,Tezka11,16.53,-0.11,7
YKwin,3.7,2.44,7,Aviado,3.41,0.86,6
Hummus,4.53,-1.35,5,nadavd,5.57,-0.05,7
Avshalom,7.92,0.75,7,UziMutsafy,8.41,-2.44,2
GuyEliyahu,3.83,1.12,7,fridlich,4.33,-0.42,4
Amiros,16.44,0.41,4,Efi,11.85,1.63,7
Moriarty,8.74,-1.46,3,Ran1976,22.74,5.27,7
Nissimb,6.31,0.34,7,bardak65,12.51,-4.15,2
hmualem,8.28,-0.78,7,sasha_er,13.8,-0.85,3
Idan1986,6.42,-1.69,0,Danny_kondrea,8.99,0.56,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,7,Bye,0,0,0
boutsky,1.26,-2.11,0,dror,10.87,-1.27,7
ynonhagag,11.68,-1.17,4,OMRAD,8.52,-0.65,7
YKwin,3.04,-1.37,2,YossiEliezer23,3.19,1.31,7
Hummus,5.6,0.74,7,Tezka11,12.05,-0.92,2
