Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.89,-2.2,1,Danny_kondrea,11.74,1.92,7
sasha_er,13.67,-2.51,7,Idan1986,5.89,-2.26,2
KingArt,10.55,1.21,7,bardak65,7.11,-2.16,0
hmualem,9.69,0.88,5,Ran1976,7.01,3.05,7
Nissimb,6.65,1.33,7,Efi,15.94,0.49,0
YEHDUA,10.23,-5.41,3,Moriarty,10.29,-1.19,7
fridlich,5.68,0.24,7,Amiros,11.06,-3.44,2
UziMutsafy,4.93,-3.16,7,gidio,13.05,-1.24,6
GuyEliyahu,9.64,1.01,4,nadavd,6.79,2.85,7
Avshalom,12.42,0.83,0,Aviado,5.06,4.41,7
pshapiro,9.29,-1.06,7,Hummus,4.87,-4.4,6
Tezka11,0,0,7,Bye,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,16.32,0.63,7,sasha_er,12.75,-2.95,4
KingArt,15.9,2.27,7,Danny_kondrea,9.5,0.01,6
hmualem,13.04,2.26,7,Idan1986,14.9,1.41,4
Nissimb,3.6,-2.24,7,bardak65,13.33,-1.08,6
YEHDUA,9.03,-2.5,6,Ran1976,14.41,0.08,7
fridlich,5.95,3.16,7,Efi,17.94,3.13,5
UziMutsafy,7.43,0.11,7,Moriarty,7.76,0.78,6
GuyEliyahu,4,-0.18,7,Amiros,20.02,1.08,4
Avshalom,11.23,2.73,7,gidio,9.71,-3.32,0
pshapiro,12.38,-1.39,1,nadavd,10.78,2.25,7
Tezka11,9.9,-2.16,6,Hummus,7.35,-2.67,7
Bye,0,0,7,Ydaniel,0,0,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,1.92,0.71,0,KingArt,29.91,3.16,7
hmualem,10.24,0.23,7,sasha_er,33.63,-1.15,0
Nissimb,9.76,3.86,7,Danny_kondrea,14.16,0.9,4
YEHDUA,13.55,-1.28,2,Idan1986,10.1,1.79,7
fridlich,3.25,3.44,7,bardak65,14.86,-0.23,0
UziMutsafy,6.96,0.21,7,Ran1976,15.4,-1.64,2
GuyEliyahu,5.76,-0.48,7,Efi,12.15,0.55,3
Avshalom,12.79,0.39,7,Moriarty,10.41,-4.23,0
pshapiro,15.2,0.53,2,Amiros,21.5,3.11,7
Tezka11,12.11,-2.31,6,nadavd,8.41,-0.9,7
Bye,0,0,7,Aviado,0,0,0
Ydaniel,7.64,-0.61,4,Hummus,3.4,1.07,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,5.8,0.13,3,hmualem,7.7,2.34,7
Nissimb,4.5,0.07,7,KingArt,10.21,-2.05,0
YEHDUA,5.5,-0.38,7,sasha_er,9.99,0.5,6
fridlich,5.68,0.68,7,Danny_kondrea,9.34,-0.14,6
UziMutsafy,10.74,0.06,7,Idan1986,9.15,0.65,2
GuyEliyahu,5.48,0.6,7,bardak65,14.27,-1.66,2
Avshalom,13.6,-1,7,Ran1976,10.53,-2.33,4
pshapiro,13.34,1.12,7,Efi,17.08,-1,3
Tezka11,13.03,-1.08,0,Amiros,13.5,2.41,7
Bye,0,0,7,gidio,0,0,0
Ydaniel,25.61,1.35,2,nadavd,7.75,2.29,7
Hummus,4.46,-0.74,5,Aviado,4.94,3.74,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.62,-2.29,3,Nissimb,7.22,2.92,7
YEHDUA,9.01,1.47,7,hmualem,10.36,-1.29,5
fridlich,3.57,2.43,7,KingArt,10.76,-1.14,0
UziMutsafy,5.39,1.84,7,sasha_er,13.95,-0.77,1
GuyEliyahu,2.95,2.29,7,Danny_kondrea,7.51,-0.29,5
Avshalom,8.06,0.61,7,Idan1986,12.2,-2.87,3
pshapiro,6.86,-3.23,4,bardak65,12.9,1.55,7
Tezka11,7.99,1.43,7,Efi,16.89,-1.02,0
Bye,0,0,7,Moriarty,0,0,0
Ydaniel,19.37,1.71,5,Amiros,13.75,1.05,7
Hummus,9.62,-4.65,3,gidio,16.18,3.73,7
Aviado,6.78,-2.17,4,nadavd,14,2.3,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,15.77,1.91,7,YEHDUA,11.98,-3.01,0
fridlich,7.75,-0.25,7,Nissimb,4.78,-2.72,6
UziMutsafy,9.23,-1.34,7,hmualem,18.55,-3.82,2
GuyEliyahu,3.15,0.34,7,KingArt,15.01,-1.79,0
Avshalom,7.46,-0.94,6,sasha_er,13.86,1.57,7
pshapiro,17.04,-0.71,3,Danny_kondrea,14.5,2.2,7
Tezka11,10.9,1.33,7,bardak65,10,-0.1,4
Bye,0,0,7,Ran1976,0,0,0
Ydaniel,15.43,0.58,4,Efi,10.07,3.24,7
Hummus,4.14,0.04,7,Moriarty,6.51,-0.07,3
Aviado,1.74,0.11,7,Amiros,17.49,0.16,4
nadavd,8.85,1.6,7,gidio,15.06,1.23,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.37,1.6,7,fridlich,4.76,-1.28,5
UziMutsafy,10.94,-1.53,4,YEHDUA,7.27,0.12,7
GuyEliyahu,7.92,-1.71,0,Nissimb,1.16,1.97,7
Avshalom,6.7,2.81,7,hmualem,16.66,-0.58,0
pshapiro,7.73,-4.57,4,KingArt,9.22,-2.99,7
Tezka11,21.13,-0.41,7,Danny_kondrea,13.81,-1.84,0
Bye,0,0,7,Idan1986,0,0,0
Ydaniel,9.07,0.35,7,bardak65,8.6,-3.52,1
Hummus,8.49,1.82,7,Ran1976,7.95,-2.95,1
Aviado,4.83,2.1,7,Efi,11.13,1.36,4
nadavd,8.34,2.98,7,Moriarty,10.26,-1.02,3
gidio,9.76,1.9,6,Amiros,12.93,2.19,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.01,1.97,7,UziMutsafy,8.06,-1.45,0
GuyEliyahu,3.21,-1.59,1,fridlich,4.08,2.11,7
Avshalom,7.5,1.53,6,YEHDUA,6.37,1.58,7
pshapiro,17.36,1.79,7,Nissimb,3.9,-3.03,4
Tezka11,45.71,0.41,4,KingArt,23.88,0.31,7
Bye,0,0,7,sasha_er,0,0,0
Ydaniel,21.92,0.9,7,Danny_kondrea,3.74,-2.1,2
Hummus,6.18,-2.52,7,Idan1986,11.38,0.23,5
Aviado,7.98,1.77,7,bardak65,15.89,0.28,1
nadavd,6.52,0.04,6,Ran1976,13.96,1.47,7
gidio,9.78,0.74,7,Efi,20.49,-3.72,2
Amiros,6.13,1.31,6,Moriarty,6.54,1.85,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.68,-0.76,5,GuyEliyahu,3.52,-0.54,7
Avshalom,11.18,-2.49,3,UziMutsafy,14.2,3.5,7
pshapiro,10.41,2.3,3,fridlich,6.22,4.94,7
Tezka11,17.47,-0.03,4,Nissimb,12.35,1.21,7
Bye,0,0,7,hmualem,0,0,0
Ydaniel,12.47,2.14,7,KingArt,7.16,0.58,6
Hummus,8.38,-2.97,4,sasha_er,12.45,-0.32,7
Aviado,3.07,-0.02,7,Danny_kondrea,13.37,-0.99,2
nadavd,5.9,1.26,7,Idan1986,9.63,-1.7,1
gidio,14.61,-0.08,3,bardak65,6.96,3.27,7
Amiros,10.36,0.5,7,Ran1976,10.33,-0.98,6
Moriarty,8.28,3.58,7,Efi,12.49,-1.34,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,14.23,4.48,7,Avshalom,7.71,0.06,1
pshapiro,10.03,-0.97,4,GuyEliyahu,3.04,0.44,7
Tezka11,17.61,-2.13,0,fridlich,3.61,1.48,7
Bye,0,0,7,YEHDUA,0,0,0
Ydaniel,52.33,1.24,7,Nissimb,18.23,-0.65,0
Hummus,3.41,-1.48,2,hmualem,6.01,1.94,7
Aviado,6.05,1.18,7,KingArt,15.83,-2.11,1
nadavd,6.88,-1.9,7,sasha_er,28.95,0.62,5
gidio,17.41,7.04,7,Danny_kondrea,11.31,1.61,5
Amiros,11.45,-4.4,4,Idan1986,14.4,-2.24,7
Moriarty,10.48,-4.61,6,bardak65,13.69,-2.3,7
Efi,10.91,1.05,7,Ran1976,8.35,0.68,6
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.91,0.15,4,pshapiro,8.38,3.4,7
Tezka11,8.13,-1.13,4,GuyEliyahu,4.01,0.64,7
Bye,0,0,7,UziMutsafy,0,0,0
Ydaniel,15.16,-1.03,7,fridlich,11.68,-1.66,4
Hummus,7.22,4.8,7,YEHDUA,9.03,4.13,5
Aviado,4.45,-0.3,7,Nissimb,2.44,-2.14,6
nadavd,5.68,2.57,0,hmualem,15.53,8.2,7
gidio,15.5,2.27,7,KingArt,9,0.39,1
Amiros,13.89,-2.26,4,sasha_er,10.26,-0.18,7
Moriarty,5.55,-2.73,7,Danny_kondrea,14.37,-0.13,6
Efi,21.78,-2.62,2,Idan1986,13.28,-0.47,7
Ran1976,11.69,-2.1,3,bardak65,16.39,0.37,7
Player, PR, Luck, Score, Player, PR, Luck, Score
Tezka11,8.57,-3.7,1,pshapiro,11.61,0.86,7
Bye,0,0,7,Avshalom,0,0,0
Ydaniel,16.44,3.15,7,GuyEliyahu,2.79,-2.42,3
Hummus,6.05,1.06,4,UziMutsafy,14.67,3.98,7
Aviado,6.48,4.33,5,fridlich,4.94,4.41,7
nadavd,7.25,-0.09,4,YEHDUA,5.85,1.04,7
gidio,0,0,0,Nissimb,0,0,7
Amiros,18.18,1.12,1,hmualem,9.67,2.53,7
Moriarty,12.61,-1.39,2,KingArt,14.65,-0.79,7
Efi,5.07,-1.94,7,sasha_er,10.4,-2.99,2
Ran1976,13.29,3.45,5,Danny_kondrea,15.09,6.04,7
bardak65,14.4,5.76,7,Idan1986,15.64,2.04,4
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,8.65,-1.74,5,Tezka11,16.43,0.21,7
Ydaniel,16.77,-1.97,4,pshapiro,10.27,1.19,7
Hummus,5.4,2.53,7,Avshalom,9.63,0.44,3
Aviado,3.41,-2.8,1,GuyEliyahu,2.64,0.77,7
nadavd,3.19,-1.02,7,UziMutsafy,9.71,-0.96,6
gidio,21.84,-1.4,2,fridlich,5.93,-1.64,7
Amiros,8.1,0.94,4,YEHDUA,11.8,0.76,7
Moriarty,7.61,0.78,7,Nissimb,11.85,-4.26,0
Efi,12.13,0.61,1,hmualem,8.91,0.89,7
Ran1976,11.93,0.49,0,KingArt,16.06,4.58,7
bardak65,6.61,-4.06,0,sasha_er,19.05,2.04,7
Idan1986,10.17,2,7,Danny_kondrea,7.3,-2.78,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,0,0,7,Bye,0,0,0
Ydaniel,12.57,-1,0,Tezka11,10.31,-0.3,7
Aviado,4.57,-5.66,5,pshapiro,16.61,0.64,7
nadavd,5.65,-2.14,4,Avshalom,15.03,1.83,7
gidio,11.31,-0.08,7,GuyEliyahu,4.48,-2.25,6
Amiros,10.88,0.51,7,UziMutsafy,8.02,-0.49,5
Moriarty,8,-1,3,fridlich,4.65,2.12,7
Efi,15.31,3.49,4,YEHDUA,11.02,2.74,7
Ran1976,10.35,1.93,7,Nissimb,6.18,1.88,6
bardak65,16.18,-2.57,5,hmualem,20.55,-1.16,7
Idan1986,13.45,-2.83,3,KingArt,14.77,2.22,7
Danny_kondrea,16.57,2.75,7,sasha_er,14.12,0.48,1
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,7.66,-1.56,2,Ydaniel,16.7,2.81,7
Hummus,0,0,7,Bye,0,0,0
Aviado,6.35,1.29,7,Tezka11,13.26,-1.21,0
gidio,15.51,-0.76,3,pshapiro,17.8,0.74,7
Amiros,17.75,0.22,0,Avshalom,4.68,3.53,7
Moriarty,6.74,-3.2,3,GuyEliyahu,6.35,0.03,7
Efi,18.61,0.68,5,UziMutsafy,8.92,0.14,7
Ran1976,10.94,0.53,7,fridlich,5.61,-1.96,5
bardak65,9.65,-1.56,4,YEHDUA,6.19,1.29,7
Idan1986,11.11,-0.84,2,Nissimb,3.34,1.12,7
Danny_kondrea,14.71,0.16,5,hmualem,11.12,0.68,7
sasha_er,15.57,-1.92,2,KingArt,12.31,-0.9,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,16.34,-1.86,3,Hummus,7.24,-1.26,7
Aviado,4.74,0.34,7,Ydaniel,16.17,-4.16,0
nadavd,0,0,7,Bye,0,0,0
gidio,26.19,-2.89,0,Tezka11,9.94,0.41,7
Moriarty,5.82,0.22,7,pshapiro,14.06,-3.17,2
Efi,22.38,0.73,3,Avshalom,7.14,1.12,7
Ran1976,11.61,0.15,7,GuyEliyahu,5.47,-0.13,5
bardak65,7.85,1.77,5,UziMutsafy,15.39,2.67,7
Idan1986,16.06,1.07,2,fridlich,5.94,4.41,7
Danny_kondrea,8.47,-1.6,2,YEHDUA,7.68,1.05,7
sasha_er,21.8,1,0,Nissimb,1.83,2.61,7
KingArt,15.11,-0.54,0,hmualem,9.99,3.09,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,9.48,-1.87,1,Aviado,2.83,0.06,7
nadavd,5.86,1.8,2,Hummus,5.05,2.08,7
gidio,8.96,-1.25,7,Ydaniel,10.28,-0.22,6
Amiros,0,0,7,Bye,0,0,0
Moriarty,5.26,2.2,5,Tezka11,11.33,4.85,7
Ran1976,18.11,-1.72,7,pshapiro,12.19,-5.48,5
bardak65,11.39,2.75,7,Avshalom,9.23,1.23,6
Idan1986,10.27,-1.39,4,GuyEliyahu,6.43,-0.45,7
Danny_kondrea,18.71,1.94,7,UziMutsafy,14.22,-3.11,6
sasha_er,17.8,0.82,3,fridlich,6.38,1.65,7
KingArt,15.82,-2.37,4,YEHDUA,6.02,0.29,7
hmualem,10.02,-2.89,2,Nissimb,8.38,0.97,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,11.26,-1.39,2,nadavd,7.76,0.71,7
gidio,10.13,2.44,7,Aviado,5.38,0.15,2
Amiros,14.59,1.07,4,Hummus,3.71,1.31,7
Moriarty,9.16,0.99,7,Ydaniel,8.56,-1.02,2
Efi,0,0,7,Bye,0,0,0
Ran1976,13.33,-1.68,7,Tezka11,22.14,0.81,4
Idan1986,13.11,-0.41,7,pshapiro,18.87,-1.67,4
Danny_kondrea,9.99,-2.24,6,Avshalom,9.31,-0.46,7
sasha_er,14.2,-1.98,4,GuyEliyahu,11.68,0.33,7
KingArt,12.92,0.61,5,UziMutsafy,12.8,1.68,7
hmualem,15.23,4.45,7,fridlich,7.79,-1.19,3
Nissimb,3.88,-2.91,6,YEHDUA,4.09,-2.09,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,9.75,1.36,7,gidio,14.77,-2.63,2
Amiros,18.7,-2.89,3,nadavd,7.71,-1.34,7
Moriarty,7.43,4.28,5,Aviado,3.51,4.57,7
Efi,15,-0.95,4,Hummus,6.2,-1.48,7
Ran1976,11.89,3.75,7,Ydaniel,25.25,1.88,5
bardak65,0,0,7,Bye,0,0,0
Idan1986,11.74,2.25,7,Tezka11,8.27,-2.81,1
sasha_er,11.07,-2.3,0,pshapiro,12.9,5.5,7
KingArt,18.34,-1.35,0,Avshalom,13.86,3.49,7
hmualem,5.61,-3.76,1,GuyEliyahu,3.63,-0.31,7
Nissimb,9.91,-0.24,7,UziMutsafy,7.65,-1.96,2
YEHDUA,5.76,3.99,7,fridlich,6.29,1.23,0
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.07,-0.45,0,Amiros,16.68,3.61,7
Moriarty,12.74,1.89,7,gidio,17.71,-2.34,1
Efi,16.23,2.58,7,nadavd,9.85,0,5
Ran1976,8.87,-1.57,4,Aviado,2.68,-0.4,7
bardak65,15.93,-2.57,7,Hummus,7.55,-6.08,6
Idan1986,28.24,0.6,0,Ydaniel,22.2,3.36,7
Danny_kondrea,0,0,7,Bye,0,0,0
sasha_er,12.63,1.61,7,Tezka11,8.76,-0.16,0
hmualem,10.84,4.17,7,pshapiro,9.07,-3,1
Nissimb,3.13,2.34,7,Avshalom,12.94,-2.04,0
YEHDUA,5.49,1.37,7,GuyEliyahu,6.28,0.31,3
fridlich,3.54,-1.42,0,UziMutsafy,5.77,3.89,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,6.4,-1.2,7,Moriarty,11.6,-1.76,5
Efi,13.44,-0.01,3,Amiros,12.62,2.28,7
Ran1976,16.44,-0.08,7,gidio,14.59,-1.88,4
bardak65,12.61,-0.72,3,nadavd,5.53,2.48,7
Idan1986,18.78,-4.02,2,Aviado,7.26,-2.24,7
Danny_kondrea,7.43,-0.41,3,Hummus,4.81,1.48,7
sasha_er,11.83,3.86,7,Ydaniel,15.95,-0.28,0
KingArt,0,0,7,Bye,0,0,0
hmualem,8.75,1.47,7,Tezka11,10.65,0.28,5
YEHDUA,9.16,1.09,7,pshapiro,14.72,-2.04,3
fridlich,4.79,-0.43,6,Avshalom,6.66,1.03,7
UziMutsafy,6.06,0.67,6,GuyEliyahu,3.62,1.33,7
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.53,0.38,6,Efi,14.65,2.2,7
Ran1976,13.81,-1.04,2,Moriarty,7.22,3.47,7
bardak65,9.07,-1.2,6,Amiros,14.14,-1.55,7
Idan1986,10.48,2.24,7,gidio,10.3,-0.45,6
Danny_kondrea,14.29,1.38,1,nadavd,3.65,3.57,7
sasha_er,11.5,-2.81,0,Aviado,2.68,1.32,7
KingArt,6.74,-3.07,0,Hummus,3.39,0.59,7
hmualem,7.93,-0.06,7,Ydaniel,16.48,0.27,4
Nissimb,0,0,7,Bye,0,0,0
YEHDUA,5,-1.27,3,Tezka11,9.23,3,7
UziMutsafy,14.9,-3,3,pshapiro,11.45,1.49,7
GuyEliyahu,1.43,-0.86,7,Avshalom,7.23,-1.6,1
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,10.89,5.76,7,Ran1976,8.86,1.46,1
bardak65,10.47,3.34,7,Efi,13.33,0.76,4
Idan1986,3.94,-2.54,0,Moriarty,4.79,2.45,7
Danny_kondrea,12.11,-2.92,7,Amiros,17.25,-2.92,6
sasha_er,12.28,-2.88,4,gidio,5.82,-1.23,7
KingArt,12.78,-1.11,5,nadavd,7.99,0.41,7
hmualem,13.6,-0.35,1,Aviado,4.05,3.28,7
Nissimb,3.38,-3.77,0,Hummus,6.65,2.73,7
YEHDUA,3.51,4.52,7,Ydaniel,7.62,1.37,0
fridlich,0,0,7,Bye,0,0,0
UziMutsafy,6.5,0.62,7,Tezka11,13.62,-2.31,0
Avshalom,6.58,-4.29,7,pshapiro,11.44,-3.71,3
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,13.55,0.04,7,bardak65,8.19,-1.04,6
Idan1986,11.56,-1.22,5,Ran1976,7.26,0.61,7
Danny_kondrea,15.24,-2.03,4,Efi,13.61,-0.99,7
sasha_er,14.04,1.1,2,Moriarty,9.73,3.02,7
KingArt,17.33,-2.85,2,Amiros,17.01,2.29,7
hmualem,8.93,3.56,7,gidio,10.41,-1.42,2
Nissimb,3.97,-1.83,2,nadavd,8.01,1.36,7
YEHDUA,8.25,0.04,3,Aviado,4.72,0.55,7
fridlich,8.11,2.18,7,Hummus,3.76,-2.78,2
UziMutsafy,3.92,1.05,7,Ydaniel,15.47,-2.15,1
GuyEliyahu,0,0,7,Bye,0,0,0
Avshalom,18.17,1.84,7,Tezka11,14.45,-0.43,5
Player, PR, Luck, Score, Player, PR, Luck, Score
MarcelDana,4.06,2.9,7,Idan1986,5.46,-1.52,0
Danny_kondrea,13.54,0.8,7,bardak65,13.56,0.76,6
sasha_er,14.92,-3.6,0,Ran1976,9.6,2.53,7
KingArt,18.6,0.37,3,Efi,12.87,-0.37,7
hmualem,11.78,-1.95,2,Moriarty,7.8,0.68,7
Nissimb,5.28,-0.2,0,Amiros,17.59,3.84,7
YEHDUA,7.53,-4.74,3,gidio,13.93,-2.22,7
fridlich,4.68,-3.55,1,nadavd,7.63,1.66,7
UziMutsafy,10.14,1.07,5,Aviado,3.7,-0.75,7
GuyEliyahu,1.94,0.01,7,Hummus,4.88,0.61,4
Avshalom,14.71,-1.02,5,Ydaniel,21.93,0.56,7
pshapiro,0,0,7,Bye,0,0,0
